date,order_date,ship_date,delivery_date,origin_city,destination_city,distance_km,transport_mode,carrier,product_id,supplier,demand_forecast,actual_sales,units_ordered,units_shipped,price_per_unit_INR,cost_per_unit_INR,transport_cost_INR,toll_charges_INR,gst_percent,gst_amount_INR,total_cost_INR,planned_lead_days,actual_lead_days,on_time_delivery,delay_days,damage_rate,return_rate,fuel_price_per_litre_INR,carbon_kg
2025-02-05,2025-02-05,2025-02-06,2025-02-05,Mumbai,Surat,280,Road,Carrier-IN-02,SKU-IN-020,Supplier-IN-18,21,16,14,13,195.21,142.43,450.56,186.52,5.0,22.53,2511.2,1,0,1,-1,0.01,0.026,101.3,4.37
2025-10-20,2025-10-17,2025-10-20,2025-10-20,Chennai,Bengaluru,350,Rail,Carrier-IN-09,SKU-IN-006,Supplier-IN-14,29,26,25,24,658.22,439.85,601.64,197.06,5.0,30.08,11385.18,3,3,1,0,0.01,0.038,99.64,4.2
2025-01-05,2025-01-05,2025-01-05,2025-01-05,Mumbai,Pune,150,Road,Carrier-IN-03,SKU-IN-014,Supplier-IN-11,38,33,31,30,1011.45,658.79,552.04,50.93,5.0,27.6,20394.27,1,0,1,-1,0.009,0.025,99.46,5.4
2024-07-15,2024-07-15,2024-07-15,2024-07-15,Pune,Nashik,160,Air,Carrier-IN-03,SKU-IN-005,Supplier-IN-10,31,31,30,28,588.05,345.1,1805.8,43.72,5.0,90.29,11602.61,0,0,1,0,0.011,0.031,96.54,26.88
2025-06-03,2025-06-01,2025-06-04,2025-06-03,Ahmedabad,Surat,260,Rail,Carrier-IN-09,SKU-IN-003,Supplier-IN-11,24,24,23,21,1026.69,794.84,396.17,234.78,5.0,19.81,17342.4,3,2,1,-1,0.008,0.028,102.31,2.73
2024-05-14,2024-05-11,2024-05-12,2024-05-14,Kochi,Bengaluru,550,Road,Carrier-IN-03,SKU-IN-012,Supplier-IN-20,60,61,58,56,532.32,362.1,3765.3,289.01,5.0,188.26,24520.17,1,3,0,2,0.008,0.036,98.75,36.96
2025-03-24,2025-03-24,2025-03-24,2025-03-24,Mumbai,Pune,150,Road,Carrier-IN-04,SKU-IN-029,Supplier-IN-20,46,45,43,40,1008.17,770.23,749.02,53.1,5.0,37.45,31648.77,1,0,1,-1,0.003,0.037,103.06,7.2
2025-04-04,2025-04-04,2025-04-04,2025-04-04,Pune,Nashik,160,Road,Carrier-IN-05,SKU-IN-052,Supplier-IN-16,39,39,42,40,878.5,594.86,799.53,60.98,5.0,39.98,24694.89,1,0,1,-1,0.007,0.033,103.21,7.68
2025-01-11,2025-01-09,2025-01-09,2025-01-11,Lucknow,Kanpur,90,Rail,Carrier-IN-08,SKU-IN-030,Supplier-IN-10,34,28,25,23,561.51,398.87,148.41,45.87,5.0,7.42,9375.71,2,2,1,0,0.004,0.016,99.84,1.04
2025-05-29,2025-05-27,2025-05-29,2025-05-29,Ahmedabad,Surat,260,Road,Carrier-IN-03,SKU-IN-053,Supplier-IN-07,38,37,40,37,722.86,415.13,1197.52,238.79,5.0,59.88,16856.0,2,2,1,0,0.015,0.017,102.47,11.54
2024-05-21,2024-05-21,2024-05-21,2024-05-21,Bengaluru,Hyderabad,570,Road,Carrier-IN-08,SKU-IN-056,Supplier-IN-12,47,51,56,52,641.07,443.92,3620.29,193.6,5.0,181.01,27078.74,2,0,1,-2,0.018,0.028,98.57,35.57
2024-04-15,2024-04-13,2024-04-13,2024-04-15,Jaipur,Ajmer,135,Rail,Carrier-IN-02,SKU-IN-019,Supplier-IN-03,40,47,45,43,666.84,396.67,414.7,99.12,5.0,20.73,17591.36,1,2,0,1,0.011,0.024,99.11,2.9
2024-10-06,2024-10-05,2024-10-06,2024-10-06,Delhi,Agra,230,Rail,Carrier-IN-03,SKU-IN-054,Supplier-IN-14,27,27,26,25,773.95,533.04,402.86,303.45,5.0,20.14,14052.45,1,1,1,0,0.005,0.025,95.18,2.88
2024-08-15,2024-08-13,2024-08-13,2024-08-15,Delhi,Agra,230,Rail,Carrier-IN-01,SKU-IN-027,Supplier-IN-02,34,35,37,34,278.11,197.82,548.77,212.96,5.0,27.44,7515.05,2,2,1,0,0.008,0.028,95.5,3.91
2025-05-29,2025-05-28,2025-05-28,2025-05-29,Chennai,Bengaluru,350,Road,Carrier-IN-02,SKU-IN-024,Supplier-IN-08,25,31,32,29,460.73,323.75,1263.49,278.14,5.0,63.17,10993.55,1,1,1,0,0.009,0.026,102.47,12.18
2024-11-22,2024-11-22,2024-11-22,2024-11-22,Mumbai,Delhi,1400,Rail,Carrier-IN-06,SKU-IN-051,Supplier-IN-05,31,30,28,27,1191.03,854.17,2670.34,276.23,5.0,133.52,26142.68,2,0,1,-2,0.01,0.029,96.84,18.9
2024-02-09,2024-02-05,2024-02-06,2024-02-09,Bengaluru,Hyderabad,570,Rail,Carrier-IN-08,SKU-IN-045,Supplier-IN-05,37,30,31,29,167.06,119.89,1170.46,212.63,5.0,58.52,4918.42,3,4,0,1,0.009,0.0,97.31,8.26
2025-04-25,2025-04-23,2025-04-23,2025-04-25,Delhi,Agra,230,Road,Carrier-IN-02,SKU-IN-002,Supplier-IN-09,36,29,32,29,488.86,331.2,833.26,256.8,5.0,41.66,10736.52,1,2,0,1,0.015,0.012,103.21,8.0
2024-06-02,2024-05-31,2024-06-01,2024-06-02,Ahmedabad,Surat,260,Rail,Carrier-IN-10,SKU-IN-034,Supplier-IN-14,35,32,30,29,616.31,414.36,536.24,260.14,5.0,26.81,12839.63,1,2,0,1,0.001,0.025,98.2,3.77
2024-10-22,2024-10-20,2024-10-22,2024-10-22,Pune,Nashik,160,Road,Carrier-IN-01,SKU-IN-016,Supplier-IN-14,23,27,29,28,275.54,187.84,539.08,61.26,5.0,26.95,5886.81,2,2,1,0,0.016,0.028,95.55,5.38
2025-09-29,2025-09-26,2025-09-27,2025-09-29,Delhi,Agra,230,Road,Carrier-IN-08,SKU-IN-039,Supplier-IN-18,26,17,17,16,356.06,206.11,450.96,230.73,5.0,22.55,4002.0,1,3,0,2,0.012,0.04,99.24,4.42
2025-10-09,2025-10-09,2025-10-09,2025-10-09,Ahmedabad,Surat,260,Road,Carrier-IN-03,SKU-IN-019,Supplier-IN-14,26,23,23,21,569.13,391.38,669.55,262.8,5.0,33.48,9184.81,1,0,1,-1,0.01,0.041,99.38,6.55
2025-09-21,2025-09-21,2025-09-22,2025-09-21,Chennai,Bengaluru,350,Road,Carrier-IN-07,SKU-IN-012,Supplier-IN-03,25,23,24,23,526.55,399.97,986.24,286.9,5.0,49.31,10521.76,2,0,1,-2,0.012,0.03,99.19,9.66
2025-01-04,2025-01-04,2025-01-05,2025-01-04,Mumbai,Delhi,1400,Air,Carrier-IN-09,SKU-IN-033,Supplier-IN-17,42,40,39,37,512.91,378.34,21175.84,248.1,5.0,1058.79,36481.31,1,0,1,-1,0.011,0.018,99.4,310.8
2025-02-03,2025-02-01,2025-02-02,2025-02-03,Delhi,Agra,230,Road,Carrier-IN-07,SKU-IN-024,Supplier-IN-09,35,37,36,35,614.14,429.34,995.9,265.33,5.0,49.8,16337.93,2,2,1,0,0.007,0.023,101.19,9.66
2024-01-17,2024-01-15,2024-01-17,2024-01-17,Chennai,Bengaluru,350,Rail,Carrier-IN-06,SKU-IN-016,Supplier-IN-04,32,33,31,30,189.99,131.59,738.67,270.68,5.0,36.93,4993.98,3,2,1,-1,0.013,0.031,96.0,5.25
2024-12-06,2024-12-05,2024-12-07,2024-12-06,Mumbai,Surat,280,Road,Carrier-IN-09,SKU-IN-022,Supplier-IN-06,29,27,28,27,566.13,349.96,919.04,247.73,5.0,45.95,10661.64,2,1,1,-1,0.014,0.013,97.61,9.07
2025-04-20,2025-04-20,2025-04-20,2025-04-20,Jaipur,Ajmer,135,Road,Carrier-IN-03,SKU-IN-052,Supplier-IN-05,38,36,35,34,1111.58,703.36,573.49,61.66,5.0,28.67,24578.06,1,0,1,-1,0.011,0.003,103.24,5.51
2025-04-13,2025-04-13,2025-04-14,2025-04-13,Mumbai,Pune,150,Road,Carrier-IN-01,SKU-IN-051,Supplier-IN-07,48,45,51,47,1181.65,673.32,880.94,105.33,5.0,44.05,32676.36,1,0,1,-1,0.014,0.012,103.26,8.46
2024-11-19,2024-11-18,2024-11-19,2024-11-19,Bengaluru,Hyderabad,570,Road,Carrier-IN-09,SKU-IN-031,Supplier-IN-09,23,22,24,22,613.21,365.39,1517.44,197.95,5.0,75.87,9829.84,1,1,1,0,0.014,0.03,96.68,15.05
2025-10-24,2025-10-24,2025-10-25,2025-10-24,Pune,Nashik,160,Road,Carrier-IN-01,SKU-IN-056,Supplier-IN-11,30,28,28,27,381.51,264.73,530.74,88.78,5.0,26.54,7793.77,1,0,1,-1,0.011,0.034,99.76,5.18
2024-05-07,2024-05-07,2024-05-08,2024-05-07,Chennai,Bengaluru,350,Road,Carrier-IN-07,SKU-IN-048,Supplier-IN-15,41,33,29,27,929.41,563.37,1156.06,292.61,5.0,57.8,16717.46,1,0,1,-1,0.0,0.049,98.89,11.34
2024-12-13,2024-12-12,2024-12-12,2024-12-13,Mumbai,Surat,280,Road,Carrier-IN-08,SKU-IN-024,Supplier-IN-17,28,26,23,22,744.32,559.69,750.4,252.07,5.0,37.52,13353.17,1,1,1,0,0.0,0.042,98.03,7.39
2024-03-25,2024-03-22,2024-03-22,2024-03-25,Jaipur,Ajmer,135,Road,Carrier-IN-07,SKU-IN-039,Supplier-IN-06,42,39,44,43,944.6,667.39,710.29,107.65,5.0,35.51,29551.22,2,3,0,1,0.008,0.018,98.93,6.97
2024-10-27,2024-10-27,2024-10-28,2024-10-27,Chennai,Bengaluru,350,Road,Carrier-IN-06,SKU-IN-043,Supplier-IN-10,31,34,34,32,586.22,325.66,1348.77,234.54,5.0,67.44,12071.87,1,0,1,-1,0.011,0.029,95.71,13.44
2025-04-01,2025-03-31,2025-04-02,2025-04-01,Kochi,Bengaluru,550,Rail,Carrier-IN-03,SKU-IN-045,Supplier-IN-15,34,30,28,27,267.98,167.85,1082.02,293.41,5.0,54.1,5961.48,2,1,1,-1,0.014,0.022,103.18,7.43
2025-04-02,2025-03-31,2025-03-31,2025-04-02,Mumbai,Pune,150,Rail,Carrier-IN-06,SKU-IN-040,Supplier-IN-14,35,37,40,38,757.28,561.52,415.34,88.46,5.0,20.77,21862.33,2,2,1,0,0.007,0.049,103.19,2.85
2025-10-16,2025-10-16,2025-10-16,2025-10-16,Mumbai,Pune,150,Road,Carrier-IN-07,SKU-IN-024,Supplier-IN-17,29,25,27,26,161.63,116.04,478.6,136.5,5.0,23.93,3656.07,2,0,1,-2,0.014,0.016,99.53,4.68
2024-06-12,2024-06-11,2024-06-12,2024-06-12,Mumbai,Pune,150,Road,Carrier-IN-10,SKU-IN-044,Supplier-IN-15,42,47,44,42,731.15,498.03,766.74,55.63,5.0,38.34,21777.97,1,1,1,0,0.008,0.011,97.84,7.56
2024-05-09,2024-05-05,2024-05-06,2024-05-09,Mumbai,Delhi,1400,Road,Carrier-IN-06,SKU-IN-024,Supplier-IN-13,38,30,27,25,483.17,367.09,4280.85,238.92,5.0,214.04,13911.06,4,4,1,0,0.002,0.028,98.85,42.0
2024-02-03,2024-02-03,2024-02-03,2024-02-03,Kochi,Bengaluru,550,Road,Carrier-IN-08,SKU-IN-024,Supplier-IN-12,41,38,40,38,577.73,387.03,2532.95,251.49,5.0,126.65,17618.23,1,0,1,-1,0.005,0.028,96.99,25.08
2024-03-19,2024-03-17,2024-03-18,2024-03-19,Kochi,Bengaluru,550,Road,Carrier-IN-06,SKU-IN-026,Supplier-IN-11,46,48,46,43,493.79,290.28,2892.06,232.97,5.0,144.6,15751.67,2,2,1,0,0.011,0.01,98.81,28.38
2024-10-12,2024-10-10,2024-10-11,2024-10-12,Pune,Nashik,160,Air,Carrier-IN-01,SKU-IN-048,Supplier-IN-06,27,20,19,17,570.33,420.18,1089.58,98.12,5.0,54.48,8385.24,1,2,0,1,0.006,0.016,95.29,16.32
2025-06-14,2025-06-11,2025-06-13,2025-06-14,Kolkata,Patna,540,Rail,Carrier-IN-02,SKU-IN-017,Supplier-IN-09,39,37,40,36,922.71,551.72,1407.82,222.35,5.0,70.39,21562.48,3,3,1,0,0.01,0.026,101.91,9.72
2025-04-01,2025-04-01,2025-04-01,2025-04-01,Pune,Nashik,160,Air,Carrier-IN-05,SKU-IN-045,Supplier-IN-16,37,39,41,38,945.94,685.62,2531.47,29.22,5.0,126.57,28740.82,0,0,1,0,0.011,0.03,103.18,36.48
2024-05-05,2024-05-05,2024-05-06,2024-05-05,Mumbai,Surat,280,Rail,Carrier-IN-08,SKU-IN-012,Supplier-IN-15,34,31,33,32,753.81,450.45,639.52,251.41,5.0,31.98,15337.31,1,0,1,-1,0.006,0.018,98.93,4.48
2024-11-23,2024-11-23,2024-11-23,2024-11-23,Lucknow,Kanpur,90,Road,Carrier-IN-02,SKU-IN-036,Supplier-IN-18,33,31,34,33,984.81,614.97,359.77,92.27,5.0,17.99,20764.04,1,0,1,-1,0.009,0.033,96.89,3.56
2024-11-03,2024-11-01,2024-11-04,2024-11-03,Mumbai,Surat,280,Rail,Carrier-IN-03,SKU-IN-051,Supplier-IN-12,24,20,19,18,1069.26,662.48,354.51,262.7,5.0,17.73,12559.58,3,2,1,-1,0.007,0.026,95.97,2.52
2024-08-17,2024-08-17,2024-08-17,2024-08-17,Mumbai,Delhi,1400,Air,Carrier-IN-03,SKU-IN-016,Supplier-IN-16,29,26,24,22,617.68,351.69,12347.72,272.68,5.0,617.39,20974.97,1,0,1,-1,0.012,0.024,95.45,184.8
2025-01-04,2025-01-02,2025-01-03,2025-01-04,Ahmedabad,Surat,260,Road,Carrier-IN-08,SKU-IN-052,Supplier-IN-18,24,26,29,27,206.32,147.52,860.93,247.49,5.0,43.05,5134.51,1,2,0,1,0.011,0.023,99.4,8.42
2025-09-18,2025-09-15,2025-09-19,2025-09-18,Mumbai,Delhi,1400,Road,Carrier-IN-07,SKU-IN-046,Supplier-IN-16,23,24,24,23,1180.3,902.31,3944.76,270.03,5.0,197.24,25165.16,4,3,1,-1,0.006,0.024,99.18,38.64
2025-02-24,2025-02-21,2025-02-24,2025-02-24,Kolkata,Patna,540,Rail,Carrier-IN-02,SKU-IN-009,Supplier-IN-11,43,38,42,39,879.95,611.4,1527.34,260.43,5.0,76.37,25708.74,3,3,1,0,0.009,0.025,102.21,10.53
2024-03-16,2024-03-15,2024-03-16,2024-03-16,Delhi,Agra,230,Road,Carrier-IN-09,SKU-IN-023,Supplier-IN-05,42,39,40,38,295.29,229.15,1068.41,246.81,5.0,53.42,10076.34,2,1,1,-1,0.009,0.039,98.74,10.49
2025-10-17,2025-10-17,2025-10-17,2025-10-17,Kochi,Bengaluru,550,Road,Carrier-IN-03,SKU-IN-028,Supplier-IN-17,23,23,22,20,1127.37,791.4,1350.1,282.93,5.0,67.5,17528.53,1,0,1,-1,0.012,0.027,99.56,13.2
2024-05-07,2024-05-05,2024-05-05,2024-05-07,Ahmedabad,Surat,260,Road,Carrier-IN-03,SKU-IN-011,Supplier-IN-11,34,30,27,26,1036.07,746.72,826.98,241.35,5.0,41.35,20524.4,2,2,1,0,0.012,0.018,98.89,8.11
2024-08-18,2024-08-17,2024-08-18,2024-08-18,Chennai,Bengaluru,350,Rail,Carrier-IN-09,SKU-IN-058,Supplier-IN-10,27,29,27,26,1113.73,640.22,638.34,225.56,5.0,31.92,17541.54,1,1,1,0,0.009,0.023,95.42,4.55
2024-09-13,2024-09-11,2024-09-12,2024-09-13,Pune,Nashik,160,Road,Carrier-IN-09,SKU-IN-018,Supplier-IN-05,31,37,41,40,160.41,116.93,768.19,79.33,5.0,38.41,5563.13,2,2,1,0,0.01,0.012,95.05,7.68
2024-11-06,2024-11-05,2024-11-07,2024-11-06,Kochi,Bengaluru,550,Road,Carrier-IN-09,SKU-IN-042,Supplier-IN-06,22,18,17,16,150.63,93.51,1061.76,227.21,5.0,53.09,2838.22,2,1,1,-1,0.008,0.015,96.09,10.56
2025-08-17,2025-08-15,2025-08-16,2025-08-17,Mumbai,Surat,280,Road,Carrier-IN-10,SKU-IN-047,Supplier-IN-20,20,18,19,18,713.89,530.56,618.68,220.73,5.0,30.93,10420.42,1,2,0,1,0.005,0.016,99.59,6.05
2025-07-31,2025-07-29,2025-07-31,2025-07-31,Mumbai,Pune,150,Rail,Carrier-IN-01,SKU-IN-006,Supplier-IN-02,21,21,19,18,349.64,258.34,193.82,82.55,5.0,9.69,4936.18,3,2,1,-1,0.016,0.026,100.1,1.35
2025-08-13,2025-08-11,2025-08-13,2025-08-13,Bengaluru,Hyderabad,570,Road,Carrier-IN-10,SKU-IN-027,Supplier-IN-20,21,18,19,18,165.1,121.3,1260.13,257.29,5.0,63.01,3763.83,2,2,1,0,0.008,0.044,99.7,12.31
2024-02-01,2024-01-29,2024-01-30,2024-02-01,Delhi,Agra,230,Rail,Carrier-IN-09,SKU-IN-019,Supplier-IN-10,45,41,43,40,846.53,488.61,650.05,236.75,5.0,32.5,20463.7,2,3,0,1,0.007,0.027,96.88,4.6
2024-09-07,2024-09-07,2024-09-08,2024-09-07,Lucknow,Kanpur,90,Road,Carrier-IN-08,SKU-IN-005,Supplier-IN-02,36,29,32,29,951.69,547.22,313.34,85.48,5.0,15.67,16283.87,1,0,1,-1,0.015,0.027,95.09,3.13
2025-03-26,2025-03-24,2025-03-25,2025-03-26,Kolkata,Patna,540,Road,Carrier-IN-04,SKU-IN-022,Supplier-IN-20,51,49,54,52,1120.28,827.52,3505.9,270.46,5.0,175.29,46982.69,1,2,0,1,0.005,0.024,103.09,33.7
2024-11-16,2024-11-16,2024-11-16,2024-11-16,Jaipur,Ajmer,135,Road,Carrier-IN-06,SKU-IN-026,Supplier-IN-05,29,26,24,22,824.93,567.73,359.14,122.15,5.0,17.96,12989.31,1,0,1,-1,0.005,0.034,96.54,3.56
2025-06-11,2025-06-10,2025-06-11,2025-06-11,Ahmedabad,Surat,260,Road,Carrier-IN-04,SKU-IN-030,Supplier-IN-04,29,29,27,25,225.89,154.15,807.38,271.23,5.0,40.37,4972.73,1,1,1,0,0.007,0.014,102.02,7.8
2025-04-05,2025-04-03,2025-04-05,2025-04-05,Pune,Nashik,160,Road,Carrier-IN-01,SKU-IN-019,Supplier-IN-13,31,28,26,24,1122.36,659.04,479.74,129.61,5.0,23.99,16450.3,2,2,1,0,0.007,0.026,103.22,4.61
2025-03-04,2025-03-02,2025-03-03,2025-03-04,Pune,Nashik,160,Air,Carrier-IN-03,SKU-IN-053,Supplier-IN-11,48,47,52,48,154.03,102.5,3187.35,132.79,5.0,159.37,8399.51,1,2,0,1,0.003,0.026,102.51,46.08
2024-07-13,2024-07-13,2024-07-13,2024-07-13,Mumbai,Surat,280,Road,Carrier-IN-09,SKU-IN-030,Supplier-IN-16,38,24,23,22,747.4,542.09,745.15,282.01,5.0,37.26,12990.4,1,0,1,-1,0.011,0.033,96.61,7.39
2025-05-24,2025-05-24,2025-05-24,2025-05-24,Mumbai,Pune,150,Road,Carrier-IN-07,SKU-IN-033,Supplier-IN-15,41,38,34,32,762.59,500.84,597.97,150.55,5.0,29.9,16805.3,1,0,1,-1,0.01,0.044,102.63,5.76
2024-08-08,2024-08-06,2024-08-06,2024-08-08,Kochi,Bengaluru,550,Road,Carrier-IN-01,SKU-IN-019,Supplier-IN-16,20,18,20,19,1154.99,748.7,1258.33,248.22,5.0,62.92,15794.77,2,2,1,0,0.005,0.036,95.69,12.54
2025-10-31,2025-10-30,2025-10-31,2025-10-31,Lucknow,Kanpur,90,Road,Carrier-IN-09,SKU-IN-001,Supplier-IN-04,29,29,30,27,914.52,629.24,298.89,102.83,5.0,14.94,17406.14,1,1,1,0,0.002,0.021,100.0,2.92
2024-05-17,2024-05-15,2024-05-15,2024-05-17,Bengaluru,Hyderabad,570,Rail,Carrier-IN-07,SKU-IN-024,Supplier-IN-02,56,57,55,51,733.27,501.78,2072.24,238.55,5.0,103.61,28005.18,2,2,1,0,0.011,0.032,98.67,14.54
2024-02-22,2024-02-21,2024-02-22,2024-02-22,Kochi,Bengaluru,550,Road,Carrier-IN-06,SKU-IN-036,Supplier-IN-10,35,40,42,39,372.33,208.34,2611.71,193.7,5.0,130.59,11061.26,1,1,1,0,0.01,0.03,97.93,25.74
2025-01-30,2025-01-27,2025-01-27,2025-01-30,Ahmedabad,Surat,260,Road,Carrier-IN-09,SKU-IN-018,Supplier-IN-20,38,36,33,32,1002.15,662.34,1028.2,280.36,5.0,51.41,22554.85,2,3,0,1,0.009,0.029,100.97,9.98
2025-09-17,2025-09-14,2025-09-17,2025-09-17,Mumbai,Delhi,1400,Road,Carrier-IN-02,SKU-IN-026,Supplier-IN-12,32,36,36,34,501.16,335.5,5831.38,233.55,5.0,291.57,17763.5,3,3,1,0,0.007,0.041,99.18,57.12
2025-07-25,2025-07-23,2025-07-23,2025-07-25,Chennai,Bengaluru,350,Rail,Carrier-IN-04,SKU-IN-039,Supplier-IN-17,30,29,26,25,557.23,343.37,628.76,265.34,5.0,31.44,9509.79,2,2,1,0,0.001,0.025,100.31,4.38
2025-05-27,2025-05-27,2025-05-27,2025-05-27,Mumbai,Pune,150,Road,Carrier-IN-03,SKU-IN-046,Supplier-IN-11,51,55,50,49,693.91,479.67,915.25,32.13,5.0,45.76,24496.97,1,0,1,-1,0.012,0.036,102.54,8.82
2025-06-15,2025-06-15,2025-06-17,2025-06-15,Delhi,Agra,230,Road,Carrier-IN-09,SKU-IN-009,Supplier-IN-11,38,33,32,31,639.57,468.26,884.99,193.68,5.0,44.25,15638.98,2,0,1,-2,0.014,0.026,101.87,8.56
2024-11-22,2024-11-21,2024-11-21,2024-11-22,Mumbai,Surat,280,Road,Carrier-IN-10,SKU-IN-048,Supplier-IN-10,32,24,25,23,481.31,276.52,779.91,242.21,5.0,39.0,7421.08,2,1,1,-1,0.01,0.038,96.84,7.73
2024-12-10,2024-12-09,2024-12-09,2024-12-10,Ahmedabad,Surat,260,Rail,Carrier-IN-09,SKU-IN-032,Supplier-IN-19,32,19,20,18,483.94,369.09,332.27,229.33,5.0,16.61,7221.83,2,1,1,-1,0.004,0.03,97.85,2.34
2025-05-01,2025-04-30,2025-04-30,2025-05-01,Mumbai,Pune,150,Road,Carrier-IN-02,SKU-IN-027,Supplier-IN-19,25,23,25,24,930.61,625.88,449.58,103.52,5.0,22.48,15596.7,1,1,1,0,0.011,0.03,103.14,4.32
2025-10-06,2025-10-05,2025-10-06,2025-10-06,Mumbai,Pune,150,Road,Carrier-IN-05,SKU-IN-042,Supplier-IN-19,25,29,32,31,1094.21,758.73,570.08,56.97,5.0,28.5,24176.18,2,1,1,-1,0.017,0.025,99.33,5.58
2024-08-21,2024-08-21,2024-08-21,2024-08-21,Jaipur,Ajmer,135,Road,Carrier-IN-08,SKU-IN-011,Supplier-IN-17,25,19,18,17,1141.42,889.13,275.9,70.23,5.0,13.79,15475.13,2,0,1,-2,0.008,0.024,95.36,2.75
2025-09-26,2025-09-23,2025-09-23,2025-09-26,Kolkata,Patna,540,Road,Carrier-IN-04,SKU-IN-003,Supplier-IN-19,33,30,33,30,715.28,543.64,1984.92,238.38,5.0,99.25,18631.75,2,3,0,1,0.006,0.0,99.21,19.44
2024-04-22,2024-04-22,2024-04-22,2024-04-22,Pune,Nashik,160,Road,Carrier-IN-06,SKU-IN-027,Supplier-IN-05,46,45,47,46,1197.39,667.5,901.22,48.05,5.0,45.06,31699.33,1,0,1,-1,0.003,0.02,99.08,8.83
2024-07-27,2024-07-26,2024-07-26,2024-07-27,Kolkata,Patna,540,Road,Carrier-IN-10,SKU-IN-059,Supplier-IN-16,44,39,39,38,339.69,260.87,2475.82,217.17,5.0,123.79,12729.84,2,1,1,-1,0.008,0.054,96.09,24.62
2024-03-04,2024-03-01,2024-03-02,2024-03-04,Jaipur,Ajmer,135,Road,Carrier-IN-04,SKU-IN-036,Supplier-IN-11,30,22,23,21,1151.64,862.67,345.93,103.91,5.0,17.3,18583.21,2,3,0,1,0.016,0.038,98.37,3.4
2025-05-04,2025-05-04,2025-05-05,2025-05-04,Ahmedabad,Surat,260,Road,Carrier-IN-03,SKU-IN-030,Supplier-IN-18,40,38,40,38,190.32,120.8,1233.56,260.14,5.0,61.68,6145.78,1,0,1,-1,0.009,0.039,103.09,11.86
2025-07-13,2025-07-13,2025-07-13,2025-07-13,Chennai,Bengaluru,350,Road,Carrier-IN-05,SKU-IN-040,Supplier-IN-16,32,30,29,27,944.77,669.37,1166.66,244.63,5.0,58.33,19542.61,1,0,1,-1,0.013,0.026,100.76,11.34
2024-09-09,2024-09-08,2024-09-10,2024-09-09,Bengaluru,Hyderabad,570,Road,Carrier-IN-04,SKU-IN-020,Supplier-IN-10,16,15,15,14,470.15,279.42,957.94,228.37,5.0,47.9,5146.09,2,1,1,-1,0.003,0.026,95.07,9.58
2024-07-31,2024-07-29,2024-07-29,2024-07-31,Jaipur,Ajmer,135,Rail,Carrier-IN-06,SKU-IN-031,Supplier-IN-12,20,18,20,19,895.15,694.86,180.4,109.47,5.0,9.02,13501.23,3,2,1,-1,0.009,0.029,95.95,1.28
2024-10-07,2024-10-05,2024-10-05,2024-10-07,Bengaluru,Hyderabad,570,Road,Carrier-IN-09,SKU-IN-025,Supplier-IN-13,17,15,15,14,740.03,426.07,958.56,309.2,5.0,47.93,7280.67,1,2,0,1,0.002,0.054,95.2,9.58
2024-05-29,2024-05-27,2024-05-28,2024-05-29,Bengaluru,Hyderabad,570,Road,Carrier-IN-02,SKU-IN-023,Supplier-IN-15,40,31,35,34,684.41,447.71,2364.32,217.29,5.0,118.22,17921.97,2,2,1,0,0.012,0.044,98.33,23.26
2024-09-19,2024-09-17,2024-09-18,2024-09-19,Jaipur,Ajmer,135,Road,Carrier-IN-04,SKU-IN-053,Supplier-IN-18,28,31,28,25,271.13,203.35,405.08,72.86,5.0,20.25,5581.94,1,2,0,1,0.012,0.009,95.04,4.05
2025-07-29,2025-07-27,2025-07-28,2025-07-29,Jaipur,Ajmer,135,Road,Carrier-IN-02,SKU-IN-040,Supplier-IN-19,38,36,34,32,877.55,630.63,531.77,148.41,5.0,26.59,20886.93,1,2,0,1,0.007,0.025,100.16,5.18
2024-09-05,2024-09-05,2024-09-05,2024-09-05,Mumbai,Pune,150,Road,Carrier-IN-09,SKU-IN-015,Supplier-IN-08,24,14,15,14,890.76,528.33,252.14,103.27,5.0,12.61,7764.64,1,0,1,-1,0.0,0.034,95.11,2.52
2024-04-12,2024-04-11,2024-04-12,2024-04-12,Kolkata,Patna,540,Road,Carrier-IN-08,SKU-IN-007,Supplier-IN-05,52,53,57,54,247.07,161.91,3571.11,241.4,5.0,178.56,12734.21,1,1,1,0,0.01,0.018,99.11,34.99
2025-07-17,2025-07-17,2025-07-17,2025-07-17,Mumbai,Surat,280,Road,Carrier-IN-08,SKU-IN-031,Supplier-IN-07,32,34,38,35,331.68,202.78,1208.93,237.08,5.0,60.45,8603.76,1,0,1,-1,0.008,0.023,100.6,11.76
2024-11-24,2024-11-23,2024-11-24,2024-11-24,Bengaluru,Hyderabad,570,Road,Carrier-IN-02,SKU-IN-042,Supplier-IN-19,24,20,19,18,581.67,379.41,1243.14,251.38,5.0,62.16,8386.06,1,1,1,0,0.008,0.038,96.94,12.31
2025-07-01,2025-06-30,2025-06-30,2025-07-01,Jaipur,Ajmer,135,Rail,Carrier-IN-01,SKU-IN-059,Supplier-IN-06,39,33,36,34,475.15,363.82,331.32,90.55,5.0,16.57,12808.32,2,1,1,-1,0.007,0.017,101.24,2.3
